Adress,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Eenergy label,Position,Garden,Estimated neighbourhood price per m2
Potgieterstraat 71,Nijverdal,€ 239.500,157 m²,106 m²,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,In woonwijk,Achtertuin en voortuin,815
Poelakkerweg 11,Lunteren,€ 625.000,370 m²,139 m²,1910,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak,6 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een vliering en een kelder",C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Voortuin en zijtuin,1.200
Willibrordusstraat 1,'s-Heerenhoek,€ 325.000,422 m²,117 m²,1966,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin rondom,€ 2.275
Akkersvoorde 22,Spijkenisse,€ 300.000,145 m²,108 m²,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Beschutte ligging en in woonwijk,Achtertuin en voortuin,1.330
Dentgenbachweg 11,Kerkrade,€ 150.000,185 m²,94 m²,1959,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,E,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.245
Schubertstraat 20,Amsterdam,€ 2.925.000,147 m²,242 m²,1930,Bestaande bouw,"Herenhuis, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,9 kamers (7 slaapkamers),3 badkamers en 1 apart toilet,4 woonlagen en een kelder,C,Aan rustige weg en in woonwijk,Achtertuin,8.545
Minahassastraat 63,Haarlem,€ 539.000,96 m²,129 m²,1927,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin,2.020
Jacob van Ruysdaelstraat 20,Hoogezand,€ 210.000,154 m²,83 m²,1958,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een vliering en een kelder",B,Beschutte ligging en in woonwijk,Achtertuin en voortuin,3.425
Loodglans 8,Heerhugowaard,€ 350.000,158 m²,132 m²,1978,Bestaande bouw,"Eengezinswoning, geschakelde woning",Lessenaardak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.430
Mgr. Nolensstraat 40,Panningen,€ 195.000,250 m²,71 m²,1962,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,In woonwijk,Achtertuin en voortuin,6.820
