Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Rooms,Toilet,Floors,Energy label,Position,Garden,Estimated neighbourhood price per m2
Eendenpoel 1,Grave,€ 749.000,647 m²,214 m²,1989,Bestaande bouw,"Villa, vrijstaande woning",Lessenaardak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.315
Linzen-oord 16,Houten,€ 569.000,350 m²,122 m²,1974,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.000
Ceresstraat 30,Vlissingen,€ 280.000,136 m²,100 m²,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk,Achtertuin,1.785
Parallelweg 10 1*,Wapenveld,€ 425.000,1.149 m²,76 m²,1967,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met kunststof en pannen,4 kamers (3 slaapkamers),1 badkamer,1 woonlaag en een zolder,G,Aan rustige weg en in bosrijke omgeving,"Achtertuin, tuin rondom, voortuin en zijtuin",1.300
Wiltslaan 1,Blijham,€ 525.000,1.760 m²,231 m²,1985,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,8 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in bosrijke omgeving,Tuin rondom,420
Hicksweg 33,Renkum,€ 289.000,122 m²,80 m²,1961,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een kelder,C,"Aan bosrand, aan rustige weg en in woonwijk",Achtertuin en voortuin,1.620
Hekkeslag 51,Uden,€ 519.000,238 m²,140 m²,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.705
Dorpsstraat 141,Assendelft,€ 1.795.000,23.650 m²,335 m²,1908,Bestaande bouw,"Woonboerderij, vrijstaande woning",Tentdak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,"Aan rustige weg, beschutte ligging, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,1.410
Prinses Margrietlaan 60,Mijdrecht,€ 420.000,286 m²,113 m²,1967,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,In woonwijk,"Achtertuin, voortuin en zijtuin",3.595
Zuidzijde 44,Bodegraven,€ 1.375.000,760 m²,245 m²,2008,Bestaande bouw,"Villa, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,7 kamers (4 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen,A,Open ligging en vrij uitzicht,Tuin rondom,
Wilhelminastraat 35,Bodegraven,€ 1.000.000,429 m²,292 m²,1895,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,11 kamers (7 slaapkamers),2 badkamers en 2 aparte toiletten,"3 woonlagen, een vliering en een kelder",C,In centrum,"Achtertuin, voortuin en zijtuin",€ 2.982
Noordeinde 45,Wormerveer,€ 450.000,270 m²,125 m²,1907,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen,C,"Aan vaarwater, aan water en in woonwijk",Achtertuin,7.470
Lagedijkerweg 44,Schagen,€ 875.000,1.110 m²,211 m²,1817,Bestaande bouw,"Woonboerderij, vrijstaande woning",Schilddak bedekt met pannen en riet,6 kamers (4 slaapkamers),3 badkamers en 1 apart toilet,2 woonlagen,B,,"Achtertuin, voortuin en zonneterras",115
